,Reigion Name,Country,Urbanisation,iso_3166_2_code,Reigion Area (ha),"COVID-19 Death Rate April-May (per 100,000)",Gross Income Per Head (2018 pounds),Mobility Retail & Recreation Average Post Lockdown (% from baseline),Mobility Retail & Recreation Rate of Change Post Lockdown (% from baseline per day),Mobility Parks Average Post lockdown (% from baseline),Mobility Park Rate of Change Post lockdown  (% from baseline per day),Mobility Grocery & Pharmacy Average Post Lockdown (% from baseline),Mobility Grocery & Pharmacy Rate of Change Post Lockdown (% from baseline per day),Mobility Transit Stations Average Post lockdown (% from baseline),Mobility Transit Station Rate of Change Post lockdown  (% from baseline per day),Mobility Workplaces Average Post lockdown (% from baseline),Mobility Workplaces Rate of Change Post lockdown  (% from baseline per day),Mobility Residential Average Post Lockdown (% from Baseline),Mobility Residential Rate of Change Post Lockdown (% from Baseline),Greenspace Number,Greenspace Area (ha),Greenspace Average Area (ha),Greenspace Fraction,Greenspace (non-sport) Number,Greenspace (non-sport) Area (ha),Greenspace (non-sport) Average Area (ha),Greenspace (non-sport) Fraction,Greenspace (sport) Number,Greenspace (sport) Area (ha),Greenspace (sport) Average Area (ha),Greenspace (sport) Fraction,Alloments Number,Alloments Area (ha),Alloments Average Area (ha),Alloments Fraction,Bowling Number,Bowling Area (ha),Bowling Average Area (ha),Bowling Fraction,Cemetery Number,Cemetery Area (ha),Cemetery Average Area (ha),Cemetery Fraction,Golf Course Number,Golf Course Area (ha),Golf Course Average Aera,Golf Course Fraction,Other Sport Number,Other Sport Area (ha),Other Sport Average Area (ha),Other Sport Fraction,Religious Grounds Number,Religious Grounds Area (ha),Religious Grounds Average Area (ha),Religious Grounds Fraction,Tennis Court Number,Tennis Court Area (ha),Tennis Court Average Area (ha),Tennis Court Fraction,Public Park or Garden Number,Public Park or Garden Area (ha),Public Park or Garden Average Area (ha),Public Park or Garden Fraction,Playing Field Number,Playing Field Area (ha),Playing Field Average Area (ha),Playing Field Fraction,Play Space Number,Play Space Area (ha),Play Space Average Aera,Play Space Fraction
0,Aberdeen City,Scotland,Urban,GB-ABE,22157.78164262333,,21648.0,-76.2258064516129,0.1514726507713884,-76.64044943820225,1.2252951158984484,-25.032258064516128,0.16821342245829726,-64.56989247311827,0.1022798484079854,-60.903225806451616,0.19806929068067225,24.644736842105264,-0.1110474469546459,433.0,1571.6091599993388,3.6295823556566713,0.07092809132914946,333.0,847.5120325737672,2.545081178900202,0.038248956788321686,148.0,835.8771947855711,5.647818883686291,0.03772386641709901,23.0,14.25975162000208,0.6199892008696556,0.0006435550205338075,25.0,9.365075015000658,0.3746030006000263,0.0004226539987642868,17.0,35.492369909999624,2.0877864652940956,0.0016018015919845292,13.0,580.4307107355799,44.64851621042922,0.026195343924639417,47.0,130.90775854999333,2.7852714585104965,0.0059079812528784695,40.0,16.140900974998754,0.4035225243749688,0.000728452930682811,15.0,3.3935831249999477,0.2262388749999965,0.00015315536454569786,30.0,650.6431977137717,21.688106590459054,0.02936409466470128,48.0,111.78006735999773,2.328751403333286,1.0,175.0,19.195744994997796,0.1096899713999874,1.0
1,Aberdeenshire,Scotland,Rural,GB-ABD,630570.5503306509,,21648.0,-59.645161290322584,0.2874578496613053,-59.645161290322584,0.5986392527826683,-27.43010752688172,0.18769956133806806,-47.70967741935484,0.2240607561696161,-55.806451612903224,0.23822028587627947,23.225352112676056,-0.09326911933584066,1111.0,2848.547400933365,2.5639490557456033,0.00451741268195871,905.0,1022.9442471582787,1.1303251349815233,0.001622251858450858,357.0,2097.958777083863,5.876635229926787,0.003327080175221886,21.0,11.425617859998692,0.5440770409523187,1.8119491711129652e-05,60.0,16.67519266499996,0.2779198777499993,2.6444610609004853e-05,142.0,111.58806041000011,0.7858314113380289,0.00017696364086696868,48.0,1485.2067035626017,30.941806324220867,0.0023553378805651597,60.0,319.5723212424891,5.326205354041486,0.0005067986779194107,139.0,51.56162446000103,0.37094693856115846,8.176979472473583e-05,38.0,4.148936304999711,0.10918253434209765,6.579654414282656e-06,47.0,522.8679158495049,11.124849273393721,0.0008291981215667777,151.0,272.3556233087744,1.80367962456142,1.0,405.0,53.145405270000204,0.13122322288888938,1.0
2,Angus Council,Scotland,Rural,GB-ANS,211017.0421437649,,18103.0,-62.86021505376344,0.334904956581421,-65.95945945945945,0.7254826800430194,-20.204301075268816,0.26148130464623554,-39.774193548387096,0.28257885470442534,-53.666666666666664,0.24762018441705688,18.837209302325583,-0.04966103720506253,401.0,1564.9794218953812,3.902691825175514,0.007416365076471729,314.0,724.1687602800014,2.3062699371974564,0.003431802251244848,139.0,950.3906183847896,6.8373425783078385,0.0045038571706321855,9.0,5.231349554998962,0.5812610616665513,2.4791123512360052e-05,25.0,6.985136254999182,0.27940545019996726,3.310223754458771e-05,39.0,55.11870910999708,1.4133002335896687,0.0002612050124010598,16.0,773.2778881656757,48.32986801035473,0.003664528136257569,34.0,58.872553079703984,1.7315456788148231,0.0002789943053016277,58.0,19.395722360003113,0.33440900620695024,9.191543091950317e-05,12.0,1.675084114999825,0.1395903429166521,7.938146123091794e-06,39.0,519.2155687647899,13.313219711917688,0.0024605385588290576,52.0,109.5799567694113,2.1073068609502172,1.0,117.0,15.627453720801244,0.13356798051966876,1.0
3,Argyll and Bute Council,Scotland,Rural,GB-AGB,703463.4141465125,,18760.0,-64.91025641025641,0.31916883227139126,,0.5224100126070034,-28.741935483870968,0.21194533138372465,-46.41935483870968,0.33590462833099577,-55.30107526881721,0.23032735519680103,,,530.0,1775.1332013909816,3.3493079271527955,0.0025234193643811436,418.0,660.5644603458119,1.5802977520234733,0.0009390175054764597,158.0,1172.0352379718659,7.417944544125733,0.0016660926700699213,5.0,1.540773320000873,0.3081546640001746,2.1902678789205255e-06,23.0,7.755783387008739,0.337207973348206,1.102514108202565e-05,122.0,74.64501439500162,0.6118443802868986,0.00010611072714501549,28.0,1046.1604355707163,37.362872698954156,0.001487156850708414,47.0,59.20477195499675,1.2596759990424842,8.416183523464091e-05,83.0,22.89302471999747,0.27581957493972853,3.254330539388857e-05,14.0,1.4477501324494737,0.10341072374639097,2.05803187960525e-06,28.0,494.6934600036188,17.667623571557815,0.0007032255694545437,46.0,57.466496926694425,1.2492716723194441,1.0,134.0,9.325690980497983,0.06959470880968643,1.0
4,Bath and North East Somerset,England,Urban,GB-BAS,35385.60416657968,6.3,22625.0,-81.04301075268818,0.18913192682999605,-81.1086956521739,1.0777235013268136,-32.43010752688172,0.22855181880576525,-63.16129032258065,0.3135388379934947,-64.7741935483871,0.25596072931276287,25.952380952380953,-0.09367092420773589,550.0,864.6188854817832,1.5720343372396057,0.024434198760929508,431.0,449.6435390327196,1.0432564710735954,0.012706962326148168,222.0,664.9027141306797,2.9950572708589176,0.018790203807192707,51.0,34.85695211759886,0.6834696493646835,0.0009850602508722993,17.0,4.7611974149998035,0.28007043617645905,0.0001345518192253043,28.0,42.63918827999904,1.5228281528571086,0.0012049868663898662,8.0,228.17175646922126,28.521469558652658,0.006448152061925809,57.0,176.95646720984234,3.104499424734076,0.005000803896884451,83.0,24.344578031871986,0.2933081690586986,0.000687979719585076,37.0,5.085925355000291,0.1374574420270349,0.00014372865674577766,30.0,80.61476093663478,2.687158697887826,0.002278179582779945,103.0,249.92736768161646,2.4264792978797716,1.0,136.0,17.260691984998505,0.12691685283087137,1.0
5,Bedford,England,Urban,GB-BDF,36848.41151188122,32.1,21986.0,-67.49462365591398,0.34433469606994715,-71.82692307692308,0.8154490415361397,-22.903225806451612,0.25139506430724234,-56.58064516129032,0.2782817582286415,-52.72043010752688,0.28772641819104167,23.33783783783784,-0.14087182310214302,941.0,2197.664346313428,2.3354562660078937,0.05964068072798264,721.0,1259.9247350759733,1.7474684259028757,0.0341921044457976,407.0,1311.144272162029,3.2214846981868033,0.035582111096953806,100.0,307.258193545502,3.07258193545502,0.008338437966218196,56.0,13.952113299999937,0.24914488035714172,0.00037863540726854094,62.0,116.42684916999852,1.877852405967718,0.0031596165042951287,29.0,791.9663866424535,27.309185746291497,0.021492551622940267,107.0,127.82190805500186,1.1945972715420734,0.0034688580269949384,123.0,40.155627666911606,0.32646851761716755,0.0010897519328333604,28.0,3.99920324000026,0.14282868714286642,0.00010853122498132049,59.0,406.81985303070235,6.8952517462830905,0.01104036337901647,187.0,373.40466092457376,1.9968163685806084,1.0,190.0,15.859550738285462,0.08347131967518664,1.0
6,Blackburn with Darwen,England,Urban,GB-BBD,13689.40329321119,23.9,13741.0,-64.59139784946237,0.35085494315299476,-72.0,-0.27999999999999986,-21.838709677419356,0.2276267494255618,-52.236559139784944,0.39540747814150556,-48.45161290322581,0.32159589388558985,20.44776119402985,-0.11044495508669339,336.0,701.2875535507509,2.0871653379486634,0.051228496854828685,248.0,530.180428482769,2.137824308398262,0.03872925774242436,132.0,327.3441402779806,2.479879850590762,0.02391222855128508,29.0,25.797143745001307,0.889556680862114,0.001884460790032722,28.0,7.591448780000103,0.27112317071428943,0.0005545492829307494,16.0,52.35192170999977,3.2719951068749857,0.003824266155995418,6.0,126.09645064798008,21.01607510799668,0.009211245219907684,44.0,36.06617231500185,0.8196857344318602,0.0026346051425694857,43.0,16.926432495000256,0.393637965000006,0.0012364624032513065,10.0,1.3530533250001404,0.13530533250001403,9.883946699642803e-05,19.0,273.5972582977686,14.399855699882556,0.019986061659345675,44.0,156.23701520999856,3.5508412547726946,1.0,97.0,5.270657025000791,0.054336670360832895,1.0
7,Blackpool,England,Urban,GB-BPL,2903.449825885256,29.3,15986.0,-70.76344086021506,0.2091552027692398,-73.93442622950819,1.3295200054536223,-19.0,0.3063620900599804,-39.60215053763441,0.5155769747247173,-50.784946236559136,0.2786100086538748,18.02857142857143,-0.1024432050120135,143.0,361.4280046283623,2.5274685638347014,0.12448226292946656,87.0,173.71184169696264,1.9966878355972717,0.05982946223084749,76.0,242.45032173611077,3.190135812317247,0.08350422300209309,10.0,12.997315130001422,1.2997315130001421,0.004476507571829166,16.0,5.925692334999556,0.37035577093747224,0.0020409143227377194,4.0,11.333248099999764,2.833312024999941,0.0039033731525029126,4.0,148.3144603379925,37.078615084498125,0.051082150280579317,31.0,31.399778447700243,1.0128960789580723,0.010814644760780916,15.0,6.907284710000318,0.4604856473333545,0.002378992276160412,5.0,2.0762318107072293,0.41524636214144584,0.0007150913345210608,12.0,84.49173347481371,7.040977789567809,0.029100462739717694,20.0,54.734158804711136,2.736707940235557,1.0,26.0,3.24810147743628,0.12492697990139538,1.0
8,Blaenau Gwent,Wales,Urban,GB-BGW,10239.649779195508,9.2,15587.0,-55.51470588235294,0.24662598614859393,,,-23.204301075268816,0.305571304944645,-28.0375,0.34863520580667473,-43.623655913978496,0.3126436095610397,13.0,0.012949640287769876,198.0,435.81939367309457,2.201108048854013,0.0425619433350713,163.0,294.5475870930933,1.8070404116140693,0.028765396614593475,67.0,198.20221083309318,2.958241952732734,0.019356346662929052,23.0,10.467481779999877,0.4551079034782555,0.0010222499798056832,9.0,2.557412189999925,0.28415690999999166,0.00024975582614123853,14.0,44.65306519000056,3.1895046564286114,0.004360800042275351,3.0,111.9274161299993,37.309138709999765,0.010930785577980289,20.0,26.297695045002136,1.3148847522501068,0.002568222118146335,23.0,6.059238929999536,0.26344517086954505,0.0005917427901011267,3.0,0.48928321499987515,0.1630944049999584,4.77831982099603e-05,11.0,171.84741155000094,15.622491959090995,0.016782547768299003,32.0,56.930404253091965,1.779075132909124,1.0,60.0,4.589985390000172,0.07649975650000287,1.0
9,Borough of Halton,England,Urban,GB-HAL,8128.400998064193,27.7,,-60.39784946236559,0.2594670406732117,-68.69565217391305,1.0475687231267212,-23.172043010752688,0.26316731819402567,-46.634408602150536,0.2988570917012322,-50.44086021505376,0.2899048073766824,21.158730158730158,-0.09013636181065988,246.0,461.4536815441841,1.875827973756846,0.05677053600752238,186.0,388.51012350338175,2.088764104856891,0.04779662366508576,94.0,189.77908049520371,2.018926388246848,0.023347652329209677,16.0,9.129138159998892,0.5705711349999307,0.0011231161162168336,21.0,5.594570006827517,0.2664080955632151,0.0006882743614838741,3.0,21.61072230499859,7.203574101666196,0.002658668329742253,2.0,58.00579526999994,29.00289763499997,0.007136187705775616,32.0,7.0990497939749675,0.22184530606171773,0.000873363629041632,30.0,11.57542133898084,0.385847377966028,0.0014240711477863318,5.0,2.2441429700000355,0.4488285940000071,0.0002760866461355051,35.0,222.62300942500121,6.360657412142892,0.027388290695552504,34.0,116.83552245440126,3.436338895717684,1.0,68.0,6.7363098200007165,0.09906337970589289,1.0
10,Bracknell Forest,England,Urban,GB-BRC,10785.95946221523,11.2,,-67.3010752688172,0.23074512846528,-74.6923076923077,1.1713044696651254,-23.903225806451612,0.1437736862522753,-58.41935483870968,0.3324281579182956,-60.54838709677419,0.3048700426725554,26.408163265306122,-0.09266709392858939,280.0,1120.2616485637877,4.000934459156385,0.10386295743908788,205.0,638.4076144589367,3.1141834851655448,0.0591887644947462,108.0,596.435951459162,5.5225551061033515,0.05529744048719662,15.0,7.911065815001409,0.5274043876667606,0.0007334596280205773,2.0,0.6706809049999486,0.3353404524999743,6.218092209130216e-05,8.0,9.59320888500099,1.1991511106251238,0.0008894163675106867,10.0,360.73804561085785,36.07380456108579,0.033445151251919235,41.0,114.103810664528,2.7830197723055607,0.010578920777910401,19.0,12.367737374999205,0.6509335460525897,0.0011466515721967221,22.0,6.3414969244665045,0.28824986020302296,0.000587939992420858,33.0,485.11235896307284,14.70037451403251,0.04497628242183658,33.0,114.5819173543095,3.4721793137669543,1.0,97.0,8.841326066552588,0.09114769140775864,1.0
