,Reigion Name,Country,Urbanisation,iso_3166_2_code,Reigion Area (ha),"COVID-19 Death Rate April-May (per 100,000)",Gross Income Per Head (2018 pounds),Mobility Retail & Recreation Average Post Lockdown (% from baseline),Mobility Retail & Recreation Rate of Change Post Lockdown (% from baseline per day),Mobility Parks Average Post lockdown (% from baseline),Mobility Park Rate of Change Post lockdown  (% from baseline per day),Mobility Grocery & Pharmacy Average Post Lockdown (% from baseline),Mobility Grocery & Pharmacy Rate of Change Post Lockdown (% from baseline per day),Mobility Transit Stations Average Post lockdown (% from baseline),Mobility Transit Station Rate of Change Post lockdown  (% from baseline per day),Mobility Workplaces Average Post lockdown (% from baseline),Mobility Workplaces Rate of Change Post lockdown  (% from baseline per day),Mobility Residential Average Post Lockdown (% from Baseline),Mobility Residential Rate of Change Post Lockdown (% from Baseline),Greenspace Number,Greenspace Area (ha),Greenspace Average Area (ha),Greenspace Fraction,Greenspace (non-sport) Number,Greenspace (non-sport) Area (ha),Greenspace (non-sport) Average Area (ha),Greenspace (non-sport) Fraction,Greenspace (sport) Number,Greenspace (sport) Area (ha),Greenspace (sport) Average Area (ha),Greenspace (sport) Fraction,Alloments Number,Alloments Area (ha),Alloments Average Area (ha),Alloments Fraction,Bowling Number,Bowling Area (ha),Bowling Average Area (ha),Bowling Fraction,Cemetery Number,Cemetery Area (ha),Cemetery Average Area (ha),Cemetery Fraction,Golf Course Number,Golf Course Area (ha),Golf Course Average Aera,Golf Course Fraction,Other Sport Number,Other Sport Area (ha),Other Sport Average Area (ha),Other Sport Fraction,Religious Grounds Number,Religious Grounds Area (ha),Religious Grounds Average Area (ha),Religious Grounds Fraction,Tennis Court Number,Tennis Court Area (ha),Tennis Court Average Area (ha),Tennis Court Fraction,Public Park or Garden Number,Public Park or Garden Area (ha),Public Park or Garden Average Area (ha),Public Park or Garden Fraction,Playing Field Number,Playing Field Area (ha),Playing Field Average Area (ha),Playing Field Fraction,Play Space Number,Play Space Area (ha),Play Space Average Aera,Play Space Fraction
0,Aberdeen City,Scotland,Urban,GB-ABE,22157.78164,,21648,-76.22580645,0.151472651,16.60674157,1.225295116,-25.03225806,0.168213422,-64.56989247,0.102279848,-60.90322581,0.198069291,24.64473684,-0.111047447,433,1571.60916,3.629582356,0.070928091,333,847.5120326,2.545081179,0.038248957,148,835.8771948,5.647818884,0.037723866,23,14.25975162,0.619989201,0.000643555,25,9.365075015,0.374603001,0.000422654,17,35.49236991,2.087786465,0.001601802,13,580.4307107,44.64851621,0.026195344,47,130.9077585,2.785271459,0.005907981,40,16.14090097,0.403522524,0.000728453,15,3.393583125,0.226238875,0.000153155,30,650.6431977,21.68810659,0.029364095,48,111.7800674,2.328751403,1,175,19.19574499,0.109689971,1
1,Aberdeenshire,Scotland,Rural,GB-ABD,0,,21648,-59.64516129,0.28745785,-6.311827957,0.598639253,-27.43010753,0.187699561,-47.70967742,0.224060756,-55.80645161,0.238220286,23.22535211,-0.093269119,1111,2848.547401,2.563949056,0.004517413,905,1022.944247,1.130325135,0.001622252,357,2097.958777,5.87663523,0.00332708,21,11.42561786,0.544077041,1.81E-05,60,16.67519266,0.277919878,2.64E-05,142,111.5880604,0.785831411,0.000176964,48,1485.206704,30.94180632,0.002355338,60,319.5723212,5.326205354,0.000506799,139,51.56162446,0.370946939,8.18E-05,38,4.148936305,0.109182534,6.58E-06,47,522.8679158,11.12484927,0.000829198,151,272.3556233,1.803679625,1,405,53.14540527,0.131223223,1
2,Angus Council,Scotland,Rural,GB-ANS,0,,18103,-62.86021505,0.334904957,4.27027027,0.72548268,-20.20430108,0.261481305,-39.77419355,0.282578855,-53.66666667,0.247620184,18.8372093,-0.049661037,401,1564.979422,3.902691825,0.007416365,314,724.1687603,2.306269937,0.003431802,139,950.3906184,6.837342578,0.004503857,9,5.231349555,0.581261062,2.48E-05,25,6.985136255,0.27940545,3.31E-05,39,55.11870911,1.413300234,0.000261205,16,773.2778882,48.32986801,0.003664528,34,58.87255308,1.731545679,0.000278994,58,19.39572236,0.334409006,9.19E-05,12,1.675084115,0.139590343,7.94E-06,39,519.2155688,13.31321971,0.002460539,52,109.5799568,2.107306861,1,117,15.62745372,0.133567981,1
3,Argyll and Bute Council,Scotland,Rural,GB-AGB,0,,18760,-64.91025641,0.319168832,-20.94565217,0.522410013,-28.74193548,0.211945331,-46.41935484,0.335904628,-55.30107527,0.230327355,,,530,1775.133201,3.349307927,0.002523419,418,660.5644603,1.580297752,0.000939018,158,1172.035238,7.417944544,0.001666093,5,1.54077332,0.308154664,2.19E-06,23,7.755783387,0.337207973,1.10E-05,122,74.6450144,0.61184438,0.000106111,28,1046.160436,37.3628727,0.001487157,47,59.20477195,1.259675999,8.42E-05,83,22.89302472,0.275819575,3.25E-05,14,1.447750132,0.103410724,2.06E-06,28,494.69346,17.66762357,0.000703226,46,57.46649693,1.249271672,1,134,9.32569098,0.069594709,1
4,Bath and North East Somerset,England,Urban,GB-BAS,0,6.3,22625,-81.04301075,0.189131927,2.902173913,1.077723501,-32.43010753,0.228551819,-63.16129032,0.313538838,-64.77419355,0.255960729,25.95238095,-0.093670924,550,864.6188855,1.572034337,0.024434199,431,449.643539,1.043256471,0.012706962,222,664.9027141,2.995057271,0.018790204,51,34.85695212,0.683469649,0.00098506,17,4.761197415,0.280070436,0.000134552,28,42.63918828,1.522828153,0.001204987,8,228.1717565,28.52146956,0.006448152,57,176.9564672,3.104499425,0.005000804,83,24.34457803,0.293308169,0.00068798,37,5.085925355,0.137457442,0.000143729,30,80.61476094,2.687158698,0.00227818,103,249.9273677,2.426479298,1,136,17.26069198,0.126916853,1
5,Bedford,England,Urban,GB-BDF,0,32.1,21986,-67.49462366,0.344334696,4.057692308,0.815449042,-22.90322581,0.251395064,-56.58064516,0.278281758,-52.72043011,0.287726418,23.33783784,-0.140871823,941,2197.664346,2.335456266,0.059640681,721,1259.924735,1.747468426,0.034192104,407,1311.144272,3.221484698,0.035582111,100,307.2581935,3.072581935,0.008338438,56,13.9521133,0.24914488,0.000378635,62,116.4268492,1.877852406,0.003159617,29,791.9663866,27.30918575,0.021492552,107,127.8219081,1.194597272,0.003468858,123,40.15562767,0.326468518,0.001089752,28,3.99920324,0.142828687,0.000108531,59,406.819853,6.895251746,0.011040363,187,373.4046609,1.996816369,1,190,15.85955074,0.08347132,1
6,Blackburn with Darwen,England,Urban,GB-BBD,0,23.9,13741,-64.59139785,0.350854943,-42,-0.28,-21.83870968,0.227626749,-52.23655914,0.395407478,-48.4516129,0.321595894,20.44776119,-0.110444955,336,701.2875536,2.087165338,0.051228497,248,530.1804285,2.137824308,0.038729258,132,327.3441403,2.479879851,0.023912229,29,25.79714375,0.889556681,0.001884461,28,7.59144878,0.271123171,0.000554549,16,52.35192171,3.271995107,0.003824266,6,126.0964506,21.01607511,0.009211245,44,36.06617232,0.819685734,0.002634605,43,16.9264325,0.393637965,0.001236462,10,1.353053325,0.135305333,9.88E-05,19,273.5972583,14.3998557,0.019986062,44,156.2370152,3.550841255,1,97,5.270657025,0.05433667,1
7,Blackpool,England,Urban,GB-BPL,0,29.3,15986,-70.76344086,0.209155203,5.557377049,1.329520005,-19,0.30636209,-39.60215054,0.515576975,-50.78494624,0.278610009,18.02857143,-0.102443205,143,361.4280046,2.527468564,0.124482263,87,173.7118417,1.996687836,0.059829462,76,242.4503217,3.190135812,0.083504223,10,12.99731513,1.299731513,0.004476508,16,5.925692335,0.370355771,0.002040914,4,11.3332481,2.833312025,0.003903373,4,148.3144603,37.07861508,0.05108215,31,31.39977845,1.012896079,0.010814645,15,6.90728471,0.460485647,0.002378992,5,2.076231811,0.415246362,0.000715091,12,84.49173347,7.04097779,0.029100463,20,54.7341588,2.73670794,1,26,3.248101477,0.12492698,1
8,Blaenau Gwent,Wales,Urban,GB-BGW,0,9.2,15587,-55.51470588,0.246625986,,,-23.20430108,0.305571305,-28.0375,0.348635206,-43.62365591,0.31264361,13,0.01294964,198,435.8193937,2.201108049,0.042561943,163,294.5475871,1.807040412,0.028765397,67,198.2022108,2.958241953,0.019356347,23,10.46748178,0.455107903,0.00102225,9,2.55741219,0.28415691,0.000249756,14,44.65306519,3.189504656,0.0043608,3,111.9274161,37.30913871,0.010930786,20,26.29769505,1.314884752,0.002568222,23,6.05923893,0.263445171,0.000591743,3,0.489283215,0.163094405,4.78E-05,11,171.8474116,15.62249196,0.016782548,32,56.93040425,1.779075133,1,60,4.58998539,0.076499757,1
9,Borough of Halton,England,Urban,GB-HAL,0,27.7,,-60.39784946,0.259467041,-9.565217391,1.047568723,-23.17204301,0.263167318,-46.6344086,0.298857092,-50.44086022,0.289904807,21.15873016,-0.090136362,246,461.4536815,1.875827974,0.056770536,186,388.5101235,2.088764105,0.047796624,94,189.7790805,2.018926388,0.023347652,16,9.12913816,0.570571135,0.001123116,21,5.594570007,0.266408096,0.000688274,3,21.6107223,7.203574102,0.002658668,2,58.00579527,29.00289763,0.007136188,32,7.099049794,0.221845306,0.000873364,30,11.57542134,0.385847378,0.001424071,5,2.24414297,0.448828594,0.000276087,35,222.6230094,6.360657412,0.027388291,34,116.8355225,3.436338896,1,68,6.73630982,0.09906338,1
