,Reigion Name,Dates,Mobility Retail & Recreation (% from Baseline),Mobility Parks (% from Baseline),Mobility Grocery & Pharmacy (% from Baseline),Mobility Transit Stations (% from Baseline),Mobility Workplaces (% from Baseline),Mobility Residential (% from baseline)
0,Aberdeen City,15/02/2020,-3.0,-32.0,-4.0,-4.0,-1.0,2.0
1,Aberdeen City,16/02/2020,6.0,-13.0,0.0,4.0,2.0,-1.0
2,Aberdeen City,17/02/2020,11.0,24.0,0.0,2.0,-10.0,1.0
3,Aberdeen City,18/02/2020,5.0,26.0,0.0,1.0,-6.0,1.0
4,Aberdeen City,19/02/2020,2.0,9.0,-2.0,4.0,-6.0,2.0
5,Aberdeen City,20/02/2020,-1.0,-1.0,3.0,-1.0,1.0,0.0
6,Aberdeen City,21/02/2020,0.0,-10.0,-1.0,-3.0,-1.0,1.0
7,Aberdeen City,22/02/2020,0.0,0.0,1.0,3.0,3.0,1.0
8,Aberdeen City,23/02/2020,3.0,4.0,0.0,18.0,4.0,-1.0
9,Aberdeen City,24/02/2020,-4.0,-33.0,-7.0,1.0,0.0,2.0
10,Aberdeen City,25/02/2020,0.0,12.0,6.0,6.0,2.0,0.0
11,Aberdeen City,26/02/2020,2.0,-8.0,0.0,6.0,1.0,1.0
12,Aberdeen City,27/02/2020,1.0,-1.0,2.0,5.0,3.0,0.0
13,Aberdeen City,28/02/2020,3.0,-18.0,0.0,7.0,1.0,0.0
14,Aberdeen City,29/02/2020,7.0,2.0,4.0,9.0,3.0,-1.0
15,Aberdeen City,01/03/2020,7.0,-15.0,3.0,16.0,2.0,-1.0
16,Aberdeen City,02/03/2020,5.0,17.0,3.0,8.0,2.0,0.0
17,Aberdeen City,03/03/2020,1.0,14.0,4.0,4.0,1.0,0.0
18,Aberdeen City,04/03/2020,5.0,10.0,6.0,1.0,1.0,0.0
19,Aberdeen City,05/03/2020,-1.0,20.0,5.0,2.0,2.0,0.0
20,Aberdeen City,06/03/2020,0.0,4.0,2.0,2.0,1.0,0.0
21,Aberdeen City,07/03/2020,-2.0,-15.0,2.0,3.0,1.0,0.0
22,Aberdeen City,08/03/2020,1.0,21.0,5.0,10.0,0.0,-1.0
23,Aberdeen City,09/03/2020,3.0,-2.0,2.0,1.0,0.0,1.0
24,Aberdeen City,10/03/2020,3.0,14.0,5.0,3.0,1.0,0.0
25,Aberdeen City,11/03/2020,0.0,-8.0,4.0,-4.0,0.0,1.0
26,Aberdeen City,12/03/2020,-5.0,-7.0,9.0,-8.0,0.0,1.0
27,Aberdeen City,13/03/2020,-4.0,-8.0,9.0,-7.0,-2.0,1.0
28,Aberdeen City,14/03/2020,-13.0,-34.0,8.0,-11.0,-2.0,3.0
29,Aberdeen City,15/03/2020,-8.0,-22.0,5.0,-4.0,-4.0,1.0
30,Aberdeen City,16/03/2020,-6.0,-14.0,17.0,-16.0,-9.0,4.0
31,Aberdeen City,17/03/2020,-18.0,-10.0,17.0,-25.0,-16.0,7.0
32,Aberdeen City,18/03/2020,-24.0,-4.0,19.0,-28.0,-24.0,10.0
33,Aberdeen City,19/03/2020,-28.0,1.0,20.0,-32.0,-29.0,12.0
34,Aberdeen City,20/03/2020,-35.0,-9.0,7.0,-34.0,-31.0,13.0
35,Aberdeen City,21/03/2020,-57.0,-12.0,1.0,-44.0,-26.0,11.0
36,Aberdeen City,22/03/2020,-60.0,-6.0,-15.0,-44.0,-32.0,8.0
37,Aberdeen City,23/03/2020,-53.0,-32.0,-14.0,-51.0,-48.0,18.0
38,Aberdeen City,24/03/2020,-75.0,-30.0,-26.0,-59.0,-61.0,24.0
39,Aberdeen City,25/03/2020,-78.0,-25.0,-26.0,-63.0,-67.0,27.0
40,Aberdeen City,26/03/2020,-80.0,-16.0,-28.0,-67.0,-69.0,28.0
41,Aberdeen City,27/03/2020,-80.0,-28.0,-28.0,-69.0,-69.0,30.0
42,Aberdeen City,28/03/2020,-87.0,-55.0,-36.0,-73.0,-60.0,
